amount,time,location,device_score,is_fraud
1878.9551930483387,9.44725248665861,31,0.07870891714256523,0
4754.064388985482,11.362455825000513,35,0.48635011510949533,0
3662.6497696389115,20.509137436852328,49,0.20975851501133502,0
2997.3058361432127,8.160105265437412,36,0.19909639407006974,0
788.5330158077583,20.87159243549211,47,0.9406453433605237,0
788.4126564776512,2.115226343440596,13,0.761541548076109,0
299.8372247193153,18.64316249300714,26,0.6962305935241437,0
4332.218967416927,20.341143193313673,18,0.23892881707785862,0
3009.5639085986118,4.36362366809613,30,0.11857343304095047,1
3543.282163202267,10.32831677693281,45,0.8708326212853501,0
112.7166265360542,3.971994591927735,8,0.00587956934245093,0
4849.850162288351,16.958499095861228,37,0.3880964237010196,0
4163.888777594105,12.848346433479762,16,0.27761250296133355,0
1069.572162284598,15.247760320999705,18,0.5703762003488236,0
917.3065863634321,4.715687206949068,43,0.2505084358858347,0
925.1885041686347,5.0819006892580685,3,0.31120535932830795,0
1528.1687923680931,0.9959358122377528,47,0.8500398549931936,0
2628.534593844867,7.729620844697513,10,0.6031888234045187,0
2165.4056430241576,13.433871872008199,21,0.14568252732936837,0
1463.233409588229,20.590437935935892,3,0.7264715434958315,0
3063.1459446646736,16.006258739008338,16,0.2074592014798784,0
706.0743646536888,10.449511761594035,7,0.4330049301124801,0
1467.8017961907385,22.874882745459306,45,0.6466072368392933,0
1838.1455980355215,17.261884813819965,33,0.27192953745748727,0
2285.7892212430093,22.3239648687012,10,0.3841068146757922,0
3928.028047351138,12.662111358531977,30,0.7341495973041509,0
1006.372172970215,6.21370259503535,10,0.9379109534243434,0
2576.029847683922,1.2678404727533277,37,0.529245056959473,0
2966.148698621592,17.42603643561241,20,0.009970971556622743,0
241.78755947278864,2.911271952132819,45,0.3384637512418305,0
3041.6488109881775,7.266603078527212,29,0.39863433484553445,0
860.9153771995848,12.779301789213537,9,0.33917362000224405,0
334.6074489965448,13.545998106713945,25,0.43626886111556273,0
4744.9388308941325,14.413996727691265,26,0.6326662538183997,0
4828.503845042052,3.9901279283928153,7,0.12112802699775316,1
4043.902767101141,9.11369771571957,38,0.2726305088675055,0
1530.0227081751198,14.812661450807202,7,0.5076480860176246,0
497.3838488918555,23.275652751210835,7,0.3155733081799751,0
3424.3228022956628,17.46314730479253,33,0.9910853381353594,0
2206.3609437606106,22.142490170254987,15,0.43143146703748825,0
618.9707918754464,18.29308939954025,40,0.8697991535922163,0
2480.932781455238,14.20120725341761,12,0.8965098356138644,0
181.5987203649398,4.608560859272269,22,0.8360069997223499,0
4547.508806373123,16.000455645420313,11,0.04689824094516781,0
1301.3121081840843,14.96110958303777,26,0.9477467316133514,0
3315.98619892637,14.459260090974395,21,0.12874256213317692,0
1565.4382696861608,11.754860831717778,31,0.034403627714294505,0
2605.139425677276,12.687758495742614,48,0.4143696079065575,0
2738.0842939229656,8.026620650834499,26,0.19463403275785607,0
932.42373307238,12.463504623415275,1,0.18419652966323619,0
4848.227292545147,4.741341736283478,44,0.2878196133761506,1
3877.9127885719618,19.324185536649043,32,0.24840560524685484,0
4698.099718405304,4.458646912768987,25,0.6847954021501531,0
4475.188478633968,2.039190957347194,27,0.18677730663607006,1
2993.520894267315,10.469904632571776,18,0.5431183051972586,0
4610.152432765353,15.799378548145484,42,0.9864265461435298,0
451.5775852390783,10.505203798404992,4,0.43238242095628887,0
