income,loan_amount,credit_score,employment_years,default
113130.25252503851,43466.50203427765,348.6863023427776,14,0
135167.3090987333,6030.763996873274,702.3789266959362,4,0
20039.919754388215,30465.363350975018,418.43117275190775,19,1
109420.78405547999,6622.689292802021,545.9816197482869,4,0
119711.52022239479,8836.216025519763,837.1416057432474,6,0
47290.56554633409,36728.78155763491,750.9487391221317,9,0
83651.09808332266,38102.36479259525,765.6263465151103,1,0
31607.166859331657,41629.130292775946,773.4234476004433,0,0
117077.48472699519,26340.86802966372,640.7499370668569,19,0
130169.28241323582,43691.336690728465,709.1636581243631,0,0
34064.26545220588,12507.723123873096,497.428503048858,3,0
126139.8329462685,16237.238613575119,849.1454246150679,14,0
120304.12216298937,11052.596642088709,453.79219331005476,14,0
65098.73164821665,40889.17672618444,624.5040718169357,5,0
109737.63889136583,15290.380327397852,455.13392307665634,5,0
20006.256106260527,11998.005924123303,361.63907780804027,0,0
141133.6950805798,33039.980941462534,612.1721981640221,6,0
91549.82059008846,8468.691186230348,494.3417689763769,4,0
100644.05232805993,7020.512474907764,620.7705971378632,16,0
106405.72376008282,9802.29418486065,607.273162165746,6,0
92977.97223838768,5010.839779422542,598.2412010289588,3,0
131379.3053801302,36364.556939980655,367.8156171255912,2,0
99261.23817970071,30300.589477151538,542.0994258926964,11,0
138008.79886126143,14444.379906697575,746.6021666693355,14,0
95703.11089042116,15485.222658991814,473.3289225495497,19,0
42245.91485747366,41493.58693115178,544.1073279106358,8,0
138763.13225910938,27581.90521371352,571.6073746761474,11,0
108611.57478677097,36433.776068678286,774.5022219254596,4,0
110901.0692766223,25373.995307371202,660.5798730743104,7,0
148112.62757430822,15697.311170935653,355.1113941605227,14,0
29775.55204724529,48668.12603073081,775.8440421927617,6,1
75717.03892237227,30454.140351892886,757.6362865151495,18,0
51082.401088259976,10894.185669556058,714.5052893295465,12,0
101955.44041277542,23274.051898275804,556.3319100753607,0,0
124885.51888724935,19820.18353761053,716.6499609171938,10,0
145620.39215601364,14633.93608648346,563.3081344535165,12,0
79097.49390411361,47004.799515811676,705.1429438799396,1,1
122208.36998353855,44641.39979568886,784.060590734895,18,0
139216.70696524932,13961.620243405237,789.7978718218283,10,0
108832.30622966502,20846.65500749825,550.0182158031,0,0
51555.23181847026,39304.19262518697,772.6384736436161,0,0
99021.03964401288,14382.772166309705,355.8015592792422,7,0
146093.76621623425,31620.418817191,356.0006796177296,12,0
148381.9977520035,36490.72739561675,601.546820777114,7,0
103506.77708318115,34428.754656984485,658.5145401509479,1,0
135308.4085233586,36788.38881239752,384.1465767881215,7,0
46045.41730031837,36801.48150629434,559.6990246432961,13,0
51990.21864378818,48416.266393201775,351.8994672987577,1,1
143875.38967503177,20592.45002841438,631.1547170543207,12,0
37580.59881432503,44536.56909691278,770.3017202140663,4,0
44843.83695215226,5981.317813179805,705.7014368107381,0,0
74671.31788560672,17969.133349547745,508.0603538360992,8,0
96645.95740793555,7189.51018996092,846.5865881504169,19,0
98496.23846587531,34304.178198012814,664.6142370563753,9,0
57956.88112652337,9535.56668292288,748.3866389433636,10,0
139679.80673354527,43056.808864342085,668.333563010453,17,0
138962.98798902216,34096.62577056169,844.1789600979196,16,1
70968.84689680842,6296.693047412256,751.7478719697751,5,0
76457.93002593864,37164.981444558034,585.6827698424922,10,0
111324.62518710854,43791.57262656325,501.7837595606744,3,0
106189.4665318571,34750.445344796724,675.1851560318632,0,0
69698.6119449251,6373.589717076448,624.621994843855,0,0
73851.75269773044,43606.379680718295,646.14282506515,17,0
65245.06264480006,37960.87608203157,488.65647145606636,4,0
50600.05090393002,22030.30906177929,535.800631313805,15,0
79557.98718013815,19788.36162419762,606.9531161898574,1,0
109236.43714733026,26591.908163334803,761.6058710570137,8,0
116455.67169085809,44019.57879220419,719.5999047695967,1,0
121253.57427327514,16342.67083413009,365.26072877653473,4,0
68715.16174890578,9543.371505854051,435.0548375106655,19,0
119402.67925704658,43908.636783247246,314.6617487131651,16,0
20847.121039943784,6183.043199632532,304.37831238107526,18,0
82016.49190319469,45994.866000982904,423.40650810413297,9,0
123207.57201724981,18758.533743563028,739.6265214051314,7,0
101905.81368337593,27870.021575972045,797.6112119959129,19,0
81628.206140086,10953.298613850264,515.4726012442289,10,0
103803.46085882539,45601.473621950834,609.7592281336732,12,1
137902.98040932632,38742.63005229821,688.3289310754594,12,0
93629.63407932696,46587.00139736154,824.1151845884496,8,0
123972.2048898138,35745.30730031731,802.1127305135874,4,0
147496.5542792757,13311.219953404676,331.45576685975897,17,0
111723.86626982367,18872.015134381218,436.4912137651045,7,0
94532.34930557826,26908.1858796563,327.0294991753474,19,0
24873.173126294234,32326.61924120931,639.0983315439782,13,0
68682.12677309639,46690.67468013232,690.7713240599514,1,0
93507.55535696539,22277.815960511252,469.5558767960813,15,0
123636.85432178422,36638.24098582157,769.618549473268,0,0
76953.62265418492,48245.39820098698,549.0470127263237,12,0
144807.57584942057,11856.832853695385,849.1098333033569,17,0
55333.187841077735,43821.93149507967,300.2198309241287,0,1
116793.73537734115,23931.773167693937,360.21933963020615,6,0
74474.08422093658,37958.97991682016,465.9862836144372,3,0
83178.50429356776,18209.225243168767,314.02917887454225,9,0
124325.26440250724,20029.28982197007,730.2867017560379,7,0
58507.98401472172,6220.995119062976,329.02448332920795,2,0
32585.567357368607,48713.186892513186,711.938798311605,6,0
87633.22599974553,41605.3658853853,328.9126523342522,15,0
88743.29953448733,9226.308106679922,438.9999955591751,19,0
123631.81038929858,49977.895804869855,762.7022486121913,9,0
145881.4968101732,32226.106874132365,823.1024118307483,12,0
27189.089222685292,43417.78870839724,527.9894884632818,0,0
96919.63158660416,7999.734347504103,833.4664303719032,6,0
108566.20894092399,22525.303032136566,644.7845080671984,9,0
148154.17559730783,35134.300503662445,528.7093173381122,11,0
142536.7278559985,9789.517341486568,741.5407391823543,13,0
112618.59941255709,27000.62773943003,462.43068607711064,10,0
87832.62346178056,24920.50435448637,446.1879437481201,16,0
40998.10989890396,14721.810101311088,661.1012223010908,8,0
69942.95217657427,18512.1426133311,514.7680490824522,7,0
96065.90225743006,48520.32595227421,374.75491481973876,9,0
114276.051557448,17989.18187044712,336.83032940944986,3,0
102601.94247228459,14604.176028578497,733.3134169366625,4,0
112835.96423760636,29129.412698075004,671.7509024912895,17,0
75789.82559174669,35193.11153316341,526.4890235336318,5,0
114591.54777423118,37629.189998130416,792.9251993440812,9,0
38686.3632825635,38941.12330236123,525.9712138434297,17,0
41136.22052920476,6657.4621181638895,690.662509305961,10,0
41168.17895783017,22719.218017080348,800.0134013640111,4,0
135812.4444146509,39828.11359023906,762.393502289644,2,0
29884.428230122485,45718.344581005826,581.1076269867684,17,0
124196.08845535186,32099.00554997525,674.350015845703,3,0
50364.21674607583,7353.808407935855,527.516177200053,7,0
80895.8922643826,22849.061263480904,655.9584447617626,16,0
139074.35741053813,8340.220214080458,441.6538410899677,9,0
96171.83985937588,38684.2038208063,539.1081625732543,18,0
47315.29921020662,7857.746117674935,415.25015568101145,0,0
56931.70784144493,13357.898003082977,321.00172397375144,1,0
139658.06110645214,23763.12907841484,623.6969178164547,10,0
75528.71026429719,25819.17652016924,775.4361399429388,14,0
96308.11279088263,23291.676514175553,314.0680510427553,0,0
79791.18556130055,25852.84909727,407.8163574011128,8,0
69196.95144629845,37095.76184090899,553.101782598731,7,0
49026.28650121225,21617.09703299937,666.2432492632392,0,0
109204.89506299827,29648.77066177786,394.1760565184375,9,0
113371.46341537565,18651.616588792953,331.1821559338434,16,0
55735.061908961936,20913.23727907172,585.4767947497891,17,0
122571.40959712795,32620.953156893636,750.2903421815198,15,0
131089.57603921834,27072.2593236659,319.3792001220242,1,0
139687.76251115196,37536.63326866765,492.15319769746424,16,0
40957.61380938809,30224.236462328736,664.9331085363344,3,0
59510.07886972463,41160.83384227428,371.90810335635683,6,1
131845.93517548044,24953.369584762244,429.7707272910162,8,0
45810.226367626216,27096.512894006068,594.5209540824463,2,0
20450.899701654398,35148.71070054228,824.2774330003199,19,0
133207.55033271248,14955.9774985422,458.03844003406584,4,1
62438.42742767802,22366.82916190674,568.1400816713907,17,0
73884.6782680635,33117.85598052685,519.96197468543,16,0
78023.42334368294,6299.432116958137,793.5681696165441,6,0
130275.6980867397,24663.714513527375,339.5394252171136,13,0
63925.97879714985,31948.247133775258,611.3811752374204,14,0
135996.38516134262,48531.8989390189,765.3658345544692,13,0
100202.08794624625,44465.745272795204,843.4646673844254,8,0
88547.27412437895,17633.387882419614,684.299023636994,15,0
62329.88592657012,27824.454681301613,508.9645116165885,18,0
51682.520516554156,7538.646769704109,526.5033938936691,0,0
101127.59756105533,15833.948666801321,493.42522085852016,7,0
78096.24080735489,39868.51406306406,631.9872048938244,17,0
138367.08129116084,10549.130552390505,706.673173895038,1,0
83913.03309482647,16596.073617528047,750.707159973912,3,0
86533.33917115485,47481.912578111354,529.1262103257445,0,0
74174.0265476801,42073.51102216061,694.1896762424716,18,0
122604.18960886705,40182.24706920104,803.922425616377,10,0
75229.09575420516,43905.08706359706,806.4536369478878,5,0
55014.45996746814,38732.25589620593,687.2159514930534,18,0
132064.01365815627,10426.379725320572,650.2962060468949,13,0
97587.66877748123,28245.25969183541,592.3393415387537,18,0
96896.32856997022,24990.97643610449,400.75871750017075,12,0
99406.88693131045,19001.821022167103,367.9963089329801,11,0
113449.16726673668,42531.818437382244,567.1410537341592,9,0
